word,severity
shut your mouth,warning
close your mouth,warning
zip it,warning
pipe down,warning
be quiet loser,warning
sit down,warning
stay in your lane,warning
know your place,warning
stay in your place,offensive
know your role,warning
be a man,warning
man up,warning
grow up,warning
act your age,warning
stop being a baby,warning
stop being childish,warning
you're immature,warning
you are immature,warning
you're childish,warning
you are childish,warning
you're sensitive,warning
you're too sensitive,warning
you're overreacting,warning
stop overreacting,warning
drama queen,warning
crybaby,warning
snowflake,warning
weakling,warning
coward,warning
spineless,warning
gutless,warning
yellow belly,warning
chicken,warning
scaredy cat,warning
fraidy cat,warning
baby,warning
wimp,warning
wuss,warning
pushover,warning
doormat,warning
follower,warning
sheep,warning
lemming,warning
conformist,warning
bootlicker,warning
sycophant,warning
brownnoser,warning
teacher's pet,warning
goody two shoes,warning
tattletale,warning
snitch,warning
rat,warning
sellout,warning
traitor,warning
backstabber,warning
snake,warning
two-faced,warning
hypocrite,warning
liar,warning
cheater,warning
fraud,warning
fake,warning
phony,warning
poser,warning
wannabe,warning
copycat,warning
thief,warning
crook,warning
criminal,warning
delinquent,warning
degenerate,offensive
deviant,warning
pervert,offensive
creep,offensive
freak,offensive
weirdo,offensive
oddball,warning
psycho,offensive
maniac,offensive
lunatic,offensive
nutcase,offensive
nutjob,offensive
whack job,offensive
head case,offensive
basket case,offensive
lost cause,offensive
hopeless case,warning
waste of oxygen,offensive
waste of skin,offensive
oxygen thief,offensive
burden,warning
inconvenience,warning
problem,warning
nuisance,warning
pest,warning
bother,warning
bane,warning
thorn,warning
eyesore,warning
embarrassment,offensive
disgrace,offensive
shame,offensive
humiliation,offensive
abomination,offensive
abhorrent,offensive
despicable,offensive
contemptible,offensive
detestable,offensive
revolting,offensive
repulsive,offensive
repugnant,offensive
vile,offensive
foul,offensive
grotesque,offensive
appalling,offensive
atrocious,offensive
monstrous,offensive
heinous,offensive
wretched,offensive
miserable,warning
pitiful,offensive
deplorable,offensive
lamentable,warning
regrettable,warning
unfortunate,warning
piteous,warning
sorry excuse,offensive
poor excuse,offensive
excuse for a human,offensive
not even human,offensive
sub-human,offensive
lowlife,offensive
lowlife scum,offensive
scum,offensive
scumbag,offensive
filth,offensive
dirt,offensive
gutter trash,offensive
bottom feeder,offensive
parasite,offensive
leech,offensive
bloodsucker,warning
freeloader,warning
moocher,warning
sponge,warning
deadbeat,warning
bum,warning
vagrant,warning
derelict,warning
loafer,warning
slacker,warning
good-for-nothing,offensive
ne'er-do-well,warning
washout,warning
dropout,warning
quitter,warning
flake,warning
unreliable,warning
irresponsible,warning
incompetent,warning
incapable,warning
inept,warning
unqualified,warning
out of your league,warning
out of your depth,warning
above your pay grade,warning
too good for you,warning
not worth my time,offensive
not worth anyone's time,offensive
waste of everyone's time,offensive
nobody wants you,offensive
nobody likes you,offensive
everyone hates you,offensive
no one likes you,offensive
you have no friends,offensive
you're friendless,offensive
you're alone,warning
you're lonely,warning
you're unwanted,offensive
you're unloved,offensive
you're unlovable,offensive
you don't deserve love,offensive
you don't deserve happiness,offensive
you don't deserve success,offensive
you don't deserve anything,offensive
you deserve nothing,offensive
you amount to nothing,offensive
you'll never amount to anything,offensive
you'll never succeed,offensive
you'll never make it,offensive
you'll always fail,offensive
you're destined to fail,offensive
you're born to lose,offensive
you're a born loser,offensive
typical loser,offensive
always the loser,offensive
loser as always,offensive
expected from a loser,offensive
of course you failed,offensive
no surprise there,warning
predictable loser,offensive
classic idiot move,offensive
typical stupid behavior,offensive
brainless move,offensive
stupid decision,offensive
dumb choice,offensive
idiotic idea,offensive
moronic plan,offensive
foolish attempt,warning
ridiculous effort,warning
pathetic try,offensive
embarrassing attempt,offensive
laughable effort,warning
not even close,warning
epic fail,warning
total fail,warning
massive fail,warning
complete failure,offensive
utter failure,offensive
miserable failure,offensive
spectacular failure,warning
you failed again,offensive
failing as usual,offensive
another failure,offensive
can't do anything right,offensive
always messing up,offensive
always making mistakes,offensive
nothing you do works,offensive
everything you do fails,offensive
you're hopeless at this,offensive
you'll never get it,offensive
too stupid to understand,offensive
too dumb to get it,offensive
beyond your comprehension,offensive
over your head,warning
too complex for you,offensive
you lack the intelligence,offensive
intellectually deficient,offensive
mentally deficient,offensive
cognitively deficient,offensive
iq of zero,offensive
brain the size of a pea,offensive
no brain cells,offensive
missing brain cells,offensive
clearly uneducated,offensive
clearly unintelligent,offensive
obviously stupid,offensive
plainly an idiot,offensive
self-evidently dumb,offensive
demonstrably incompetent,offensive
provably useless,offensive
factually a failure,offensive
objectively terrible,offensive
unquestionably pathetic,offensive
undeniably worthless,offensive
tanga talaga,offensive
sobrang bobo,offensive
grabe ang katangahan,offensive
walang utak,offensive
wala kang utak,offensive
hangal,offensive
hunghang,offensive
mangmang,offensive
salbahe,warning
bastos,warning
hampaslupa,offensive
walang hiya,offensive
walang modo,offensive
pabaya,warning
tamad na tamad,offensive
duwag,warning
takot na takot,warning
walang lakas ng loob,warning
mahina ang loob,warning
duwag ka,warning
walang bayag,offensive
walang puso,offensive
walang awa,offensive
malupit,warning
m残酷,warning
walang konsensya,offensive
walang pagpapahalaga,offensive
mapanlinlang,warning
sinungaling,warning
mandaraya,warning
magnanakaw,warning
kriminal,warning
delikwente,warning
bastos ka,warning
walang hiya ka,offensive
ikaw ay walang kwenta,offensive
wala kang silbi sa mundo,offensive
mas mabuti pa wala ka,offensive
sana wala kang nangyari,offensive
pagkakamali ka,offensive
ayaw ka ng lahat,offensive
walang nagmamahal sayo,offensive
pabigat ka,offensive
pasanin ka,offensive
gastos ka lang,offensive
wala kang maiaambag,offensive
laging nagkakamali,offensive
hindi mo kaya,offensive
hindi ka kayang gawin,offensive
huwag mo nang subukan,offensive
sumuko ka na lang,offensive
walang pag-asa ka,offensive
talunan ka,offensive
palaging talunan,offensive
born loser ka,offensive
ikaw ay isang kahiya-hiya,offensive
kahihiyan mo,offensive
napakahina mo,offensive
ang hina hina mo,offensive
walang kwentang tao,offensive
walang kwentang nilalang,offensive
dumi,offensive
basura ka,offensive
basura,offensive
dumi ka,offensive
dumi ng lipunan,offensive
scum ng lipunan,offensive
shut up na,warning
tumahimik ka,warning
huwag kang magsalita,warning
wag kang makialam,warning
wag kang umasta,warning
malaman mo ang lugar mo,warning
alamin mo ang lugar mo,warning
hindi ka naman magaling,warning
akala mo magaling ka,warning
feeling magaling,warning
feeling matalino,warning
feeling ganda,warning
feeling artista,warning
pa-cool cool pa,warning
pa-importante importante,warning
akala mo sino ka,warning
sino ka ba para sa akin,warning
wala kang halaga,offensive
walang halaga ang buhay mo,offensive
mas mabuti pang wala kang buhay,offensive
sana mamatay ka,offensive
patay ka na sana,offensive
mamatay ka na,offensive
du_mb,offensive
st_upid,offensive
id_iot,offensive
f00l,offensive
l0ser,offensive
tr4sh,offensive
w0rthless,offensive
p4thetic,offensive
ann0ying,offensive
g4rbage,offensive
h0rrible,offensive
t3rrible,offensive
aw_ful,offensive
d1sgusting,offensive
u5eless,offensive
m0ron,offensive
b4stard,offensive
j4ckass,offensive
@sshole,offensive
pr1ck,offensive
scumb4g,offensive
kup4l,offensive
lint1k,offensive
puny3ta,offensive
bw1sit,warning
t4ntaranta,offensive
tanggal ka na,warning
pinalaya ka na,warning
fired ka,warning
you got fired,warning
wala nang trabaho,warning
talunan sa trabaho,offensive
hindi ka kailanman matatanggap,offensive
walang kumpanya na kukuha sayo,offensive
palaging matatanggal,offensive
dahil sa katangahan mo,offensive
dahil sa kahangalan mo,offensive
you're replaceable,warning
you're expendable,warning
nobody needs you,offensive
you're not needed,offensive
you're not wanted here,offensive
you don't belong here,offensive
get out of here,warning
leave and don't come back,warning
nobody wants you here,offensive
go back where you came from,offensive
you don't fit in,warning
you'll never fit in,offensive
you're an outcast,warning
you'll always be an outsider,offensive
loser forever,offensive
failure forever,offensive
always a loser,offensive
never a winner,offensive
destined for failure,offensive
born to fail,offensive
you make me sick,offensive
you disgust me,offensive
i can't stand you,warning
i hate you,offensive
i despise you,offensive
i loathe you,offensive
you repulse me,offensive
you revolt me,offensive
you make me want to vomit,offensive
you're the worst,offensive
you're the absolute worst,offensive
worst person ever,offensive
worst human being,offensive
worst of the worst,offensive
rock bottom,warning
lower than low,offensive
the lowest of the low,offensive
beneath contempt,offensive
not worthy of respect,offensive
not worthy of consideration,offensive
not worthy of attention,offensive
not worthy of time,offensive
not worth knowing,offensive
not worth talking to,offensive
not worth being around,offensive
not worth the effort,offensive
not worth the trouble,offensive
not worth anything,offensive
utter disappointment,offensive
complete disappointment,offensive
massive disappointment,offensive
huge disappointment,offensive
total disappointment,offensive
epic disappointment,warning
chronic loser,offensive
serial failure,offensive
perpetual screw-up,offensive
constant embarrassment,offensive
always wrong,offensive
never right,offensive
always the problem,offensive
never the solution,offensive
part of the problem,warning
making things worse,warning
ruining everything,offensive
destroying everything,offensive
messing everything up,offensive
screwing everything up,offensive
can't get anything right,offensive
can't do anything,offensive
can't handle anything,offensive
can't manage anything,offensive
can't cope,warning
can't function,warning
nonfunctional,warning
dysfunctional,warning
broken person,offensive
damaged goods,offensive
damaged beyond repair,offensive
beyond fixing,offensive
beyond help,offensive
beyond saving,offensive
lost cause indeed,offensive
absolutely hopeless,offensive
completely hopeless,offensive
totally hopeless,offensive
not salvageable,offensive
not fixable,offensive
not redeemable,offensive
irredeemable,offensive
irrecoverable,offensive
irreversibly broken,offensive
fundamentally flawed,offensive
inherently inferior,offensive
naturally incompetent,offensive
born incompetent,offensive
genetically stupid,offensive
stupid by nature,offensive
dumb by default,offensive
idiot by birth,offensive
fool at heart,offensive
fool through and through,offensive
stupid to the core,offensive
dumb to the bone,offensive
moronic at heart,offensive
idiotic by nature,offensive
pathetic through and through,offensive
worthless to the core,offensive
useless by nature,offensive
garbage by default,offensive
trash through and through,offensive
no good rotten,offensive
rotten to the core,offensive
bad to the bone,offensive
evil inside,warning
dark inside,warning
rotten inside,offensive
hollow inside,warning
empty inside,warning
nothing inside,warning
no substance,warning
no depth,warning
no intelligence,offensive
no wisdom,offensive
no common sense,offensive
no brain,offensive
no mind,offensive
no intellect,offensive
no talent,offensive
no skill,warning
no ability,warning
no capability,warning
no potential,offensive
no future,offensive
no prospects,offensive
no hope,offensive
no chance,offensive
zero chance,offensive
slim to none,warning
not a shot,warning
not a hope,offensive
not a prayer,offensive
never going to happen for you,offensive
will never succeed,offensive
will always fail,offensive
will never win,offensive
always the loser in the end,offensive
destined to be nothing,offensive
meant to be nothing,offensive
supposed to be nothing,offensive
going nowhere fast,warning
going absolutely nowhere,warning
stuck at the bottom,warning
will never rise above,offensive
always at the bottom,offensive
scraping the bottom,warning
below average,warning
well below average,warning
far below average,offensive
bottom of the barrel,offensive
bottom of the pile,offensive
bottom of the heap,offensive
last in line,warning
last always,offensive
last as always,offensive
last place as expected,offensive
loser placement,offensive
first to fail,offensive
first to quit,offensive
first to give up,offensive
always giving up,offensive
always quitting,offensive
perpetual quitter,offensive
chronic giver-upper,offensive
habitual failure,offensive
habitual loser,offensive
serial underperformer,offensive
consistent disappointment,offensive
reliably terrible,offensive
dependably bad,offensive
predictably awful,offensive
unsurprisingly horrible,offensive
characteristically idiotic,offensive
typically moronic,offensive
classically stupid,offensive
textbook dumb,offensive
definitively useless,offensive
quintessentially pathetic,offensive
emblematically worthless,offensive
prototypically inferior,offensive
archetypally incompetent,offensive
paradigmatically inept,offensive
exemplarily hopeless,offensive
superlatively terrible,offensive
maximally bad,offensive
peak failure,offensive
ultimate failure,offensive
supreme failure,offensive
paramount failure,offensive
pinnacle of failure,offensive
zenith of stupidity,offensive
apex of idiocy,offensive
summit of worthlessness,offensive
height of uselessness,offensive
epitome of failure,offensive
embodiment of mediocrity,offensive
personification of failure,offensive
living embodiment of failure,offensive
walking failure,offensive
breathing disappointment,offensive
existing disappointment,offensive
mahinhin ka lang,warning
mapagpanggap,warning
mapagimbento,warning
mapagsinungaling,warning
mapanlinlang talaga,offensive
traydor,warning
taksil,offensive
disleal,warning
hindi mapagkakatiwalaan,offensive
walang paninindigan,warning
walang prinsipyo,warning
walang integridad,warning
walang dignidad,offensive
walang dangal,offensive
walang karangalan,offensive
nawalan ng karangalan,offensive
kahiya-hiya,offensive
nakakahiya kang tao,offensive
ikinahihiya kita,offensive
ikaw ay isang kahihiyan,offensive
kahihiyan ng pamilya,offensive
pababa ng pamilya,offensive
pababa ng grupo,offensive
lahat kayo mahirap,warning
bumalik ka sa probinsya,offensive
probinsyano ka kasi,offensive
squatter,offensive
slum dweller,offensive
mahirap lang kayo,offensive
walang pinag-aralan,offensive
di nakapagtapos,offensive
dropout ka pala,offensive
di ka marunong,offensive
ignorante,offensive
taong-grasa,offensive
palaboy,offensive
pulubi,offensive
mangyayari wala ka,offensive
masaktan ka sana,offensive
masama ang mangyari sayo,offensive
di ko sisikapin para sayo,warning
ayaw ko sayo,offensive
di kita gusto,offensive
ikaw ang mali lagi,offensive
lagi kang nagkakamali,offensive
walang tama sayo,offensive
lahat mali mo,offensive
puro mali,offensive
puro tanga,offensive
puro daldal,warning
daldal lang nang daldal,warning
walang silbing daldal,warning
salita lang nang salita,warning
gawa wala,warning
walang magagawa,warning
walang kakayahan,offensive
walang kakayahang gumawa,offensive
d1mbwit,offensive
n1twit,offensive
h4lfwit,offensive
numb5kull,offensive
bl0ckhead,offensive
b0nehead,offensive
kn0ckle head,offensive
p1nhead,offensive
a1rhead,offensive
laM3brain,offensive
sc4tterbrain,warning
b1rdbrain,offensive
p3a brain,offensive
br4inless,offensive
m1ndless,offensive
w1tless,offensive
s3nseless,warning
clu3less,warning
h0peless,warning
cr1minal,warning
del1nquent,warning
p3rvert,offensive
cr33p,offensive
fr3ak,offensive
w31rdo,offensive
ps7cho,offensive
man14c,offensive
lun4tic,offensive
nut c4se,offensive
nut j0b,offensive
wh4ck job,offensive
h3ad case,offensive
b4sket case,offensive
l0st cause,offensive
sn4ke,warning
two f4ced,warning
hyp0crite,warning
l14r,warning
ch3ater,warning
fr4ud,warning
f4ke,warning
ph0ny,warning
p0ser,warning
w4nnabe,warning
sn1tch,warning
r4t,warning
s3llout,warning
tr4itor,warning
b4ckstabber,warning
c0ward,warning
sp1neless,warning
gutl3ss,warning
w1mp,warning
pus5y,offensive
c4llous,warning
he4rtless,offensive
s0ulless,offensive
em0tionless,warning
unempath3tic,warning
disgusting person,offensive
repulsive person,offensive
revolting person,offensive
vile person,offensive
foul person,offensive
grotesque person,offensive
appalling person,offensive
atrocious person,offensive
monstrous person,offensive
wretched person,offensive
miserable person,warning
pitiful person,offensive
deplorable person,offensive
contemptible person,offensive
detestable person,offensive
despicable person,offensive
abhorrent person,offensive
abominable person,offensive
loathsome person,offensive
odious person,offensive
obnoxious person,warning
insufferable person,warning
intolerable person,warning
unbearable person,warning
impossible person,warning
difficult person,warning
terrible person,offensive
horrible person,offensive
awful person,offensive
bad person,warning
evil person,offensive
wicked person,offensive
cruel person,offensive
heartless person,offensive
ruthless person,offensive
merciless person,offensive
remorseless person,offensive
shameless person,offensive
brazen person,warning
audacious fool,offensive
insolent idiot,offensive
impudent moron,offensive
presumptuous imbecile,offensive
arrogant buffoon,offensive
conceited dunce,offensive
pompous nitwit,offensive
pretentious dimwit,offensive
self-important halfwit,offensive
egotistical numbskull,offensive
narcissistic blockhead,offensive
self-absorbed bonehead,offensive
selfish scum,offensive
greedy pig,offensive
glutton,warning
slob,warning
pig,offensive
swine,offensive
animal,warning
beast,warning
savage,warning
brute,offensive
thug,warning
punk,warning
delinquent punk,offensive
street thug,warning
gang member,warning
hood rat,offensive
lowlife thug,offensive
trashy person,offensive
classless person,offensive
graceless person,warning
tasteless person,warning
tacky person,warning
vulgar person,warning
crude person,warning
crass person,warning
coarse person,warning
rough person,warning
unrefined person,warning
uncultured person,warning
uncivilized person,warning
barbaric person,offensive
primitive person,offensive
neanderthal,offensive
caveman,offensive
troglodyte,offensive
throwback,warning
relic,warning
dinosaur,warning
fossil,warning
ancient relic,warning
outdated fool,offensive
obsolete idiot,offensive
irrelevant moron,offensive
insignificant person,offensive
inconsequential person,offensive
negligible person,offensive
trivial person,offensive
unimportant person,offensive
invisible loser,offensive
nonentity,offensive
zero,offensive
cipher,offensive
null,offensive
void,offensive
blank,warning
empty,warning
hollow,warning
vapid,warning
vacuous,offensive
inane,warning
insipid,warning
banal,warning
trite,warning
jejune,warning
dull,warning
boring,warning
tedious,warning
tiresome,warning
wearisome,warning
humdrum,warning
pedestrian,warning
mediocre,warning
subpar,warning
substandard,warning
below par,warning
not up to par,warning
not good enough,warning
never good enough,offensive
will never be good enough,offensive
always falling short,offensive
perpetually inadequate,offensive
chronically insufficient,offensive
consistently subpar,offensive
reliably mediocre,offensive
dependably awful,offensive
